trial_id,stage,seed,probe,status_file,metrics_file,parser_status,parsed_record
safe-01,safe,1101,"30,38,0,0.05,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-01/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-01/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15134.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 152.17268173606135, ""status"": ""SUCCESS"", ""trial_id"": ""safe-01"", ""wirelength"": 27414}"
safe-02,safe,1102,"30,45,0,0.10,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-02/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-02/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15310.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 156.53510940400884, ""status"": ""SUCCESS"", ""trial_id"": ""safe-02"", ""wirelength"": 28204}"
safe-03,safe,1103,"35,38,1,0.05,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-03/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_safe-03/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15113.2, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 180.3245544419624, ""status"": ""SUCCESS"", ""trial_id"": ""safe-03"", ""wirelength"": 28397}"
middle-04,middle,1201,"35,45,1,0.10,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-04/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-04/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15134.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 146.7601345879957, ""status"": ""SUCCESS"", ""trial_id"": ""middle-04"", ""wirelength"": 27363}"
middle-05,middle,1202,"35,52,1,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-05/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-05/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15318.4, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 182.19672266789712, ""status"": ""SUCCESS"", ""trial_id"": ""middle-05"", ""wirelength"": 28123}"
middle-06,middle,1203,"40,45,1,0.10,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-06/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-06/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15113.2, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 178.12282905797474, ""status"": ""SUCCESS"", ""trial_id"": ""middle-06"", ""wirelength"": 28422}"
middle-07,middle,1204,"30,52,2,0.10,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-07/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-07/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15255.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.1, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 154.48593797395006, ""status"": ""SUCCESS"", ""trial_id"": ""middle-07"", ""wirelength"": 28813}"
middle-08,middle,1205,"40,38,0,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-08/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-08/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15137, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 174.98103450215422, ""status"": ""SUCCESS"", ""trial_id"": ""middle-08"", ""wirelength"": 27287}"
middle-09,middle,1206,"35,38,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-09/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-09/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15030.7, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 152.29826725786552, ""status"": ""SUCCESS"", ""trial_id"": ""middle-09"", ""wirelength"": 28815}"
middle-10,middle,1207,"30,45,2,0.15,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-10/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-10/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15030.7, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 153.97661626595072, ""status"": ""SUCCESS"", ""trial_id"": ""middle-10"", ""wirelength"": 28897}"
middle-11,middle,1208,"40,52,0,0.05,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-11/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_middle-11/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15310.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.05, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 162.48386176209897, ""status"": ""SUCCESS"", ""trial_id"": ""middle-11"", ""wirelength"": 28277}"
